a, r, p, (r*a)%p, add ,sub, shift, even, neg, loop, fbr, sbr, tbr
38 26 47 1 5 14 16 6 0 9 2 4 3
39 41 47 1 7 16 15 6 0 10 3 3 4
40 20 47 1 12 20 20 8 0 14 4 4 6
41 39 47 1 6 14 15 6 0 9 3 3 3
42 28 47 1 5 14 18 7 0 10 3 4 3
43 35 47 1 7 21 20 8 0 13 4 4 5
44 31 47 1 7 18 20 8 0 12 4 4 4
45 23 47 1 6 18 18 7 0 11 4 3 4
46 46 47 1 0 4 0 0 0 1 0 0 1
2 27 53 1 2 13 18 7 0 10 3 4 3
3 18 53 1 2 10 18 7 0 9 3 4 2
4 40 53 1 2 12 15 6 0 9 3 3 3
5 32 53 1 2 12 18 7 0 10 4 3 3
6 9 53 1 2 10 15 6 0 8 3 3 2
7 38 53 1 4 7 18 7 0 9 4 3 2
8 20 53 1 4 16 18 7 0 11 3 4 4
9 6 53 1 1 9 8 3 0 5 1 2 2
10 16 53 1 5 15 20 8 0 12 4 4 4
11 29 53 1 7 15 20 8 0 12 4 4 4
12 31 53 1 3 15 18 7 0 10 3 4 3
13 49 53 1 0 6 6 2 0 3 0 2 1
14 19 53 1 7 10 20 8 0 11 4 4 3
15 46 53 1 4 7 13 5 0 7 3 2 2
16 10 53 1 4 16 15 6 0 10 3 3 4
17 25 53 1 2 15 14 5 0 8 4 1 3
18 3 53 1 1 9 5 2 0 4 1 1 2
19 14 53 1 11 22 20 8 0 14 4 4 6
20 8 53 1 5 11 13 5 0 8 2 3 3
21 48 53 1 2 8 8 3 0 5 2 1 2
22 41 53 1 3 14 13 5 0 8 2 3 3
23 30 53 1 8 15 18 7 0 11 4 3 4
24 42 53 1 3 14 15 6 0 9 3 3 3
25 17 53 1 2 10 14 5 0 7 4 1 2
26 51 53 1 0 5 3 1 0 2 0 1 1
27 2 53 1 0 4 3 1 0 2 0 1 1
28 36 53 1 8 14 20 8 0 12 4 4 4
29 11 53 1 7 9 13 5 0 8 3 2 3
30 23 53 1 11 13 20 8 0 12 4 4 4
31 12 53 1 8 18 15 6 0 11 3 3 5
